,location,dt,tweets,sentiment
23935,leyte,2017-11-12,-0.2998857463449114,-0.8041572213905547
23936,leyte,2017-11-13,-0.3696897972079012,-1.4250864086665849
23937,leyte,2017-11-14,-0.3545150035420338,-1.3706827137723077
23938,leyte,2017-11-15,-0.3454101273425134,-2.393946631457365
23939,leyte,2017-11-16,-0.3150605400107787,-2.139051182572753
23940,leyte,2017-11-17,-0.36361987974155424,-1.2726785453828702
23941,leyte,2017-11-18,-0.3545150035420338,-1.456134698054466
23942,leyte,2017-11-19,-0.3575499622752073,-1.468978084385741
23943,leyte,2017-11-20,-0.34237516860934,-1.3600891572119047
23944,leyte,2017-11-21,-0.28471095267904406,-1.7133153128998178
23945,leyte,2017-11-22,-0.36058492100838074,-0.7224938671301667
23946,leyte,2017-11-23,-0.3757597146742481,-0.14407569081238586
23947,leyte,2017-11-24,-0.28167599394587056,-0.5419773589260025
23948,leyte,2017-11-25,-0.30899062254443177,-1.733181857060313
23949,leyte,2017-11-26,-0.2756060764795236,-1.2640487591021567
23950,leyte,2017-11-27,-0.3180954987439522,-1.3147940276343633
23951,leyte,2017-11-28,-0.3696897972079012,-0.7866102878847248
23952,leyte,2017-11-29,-0.3545150035420338,-1.5755116731860703
23953,leyte,2017-11-30,-0.3545150035420338,-0.5113495731665038
24289,leyte,2018-11-01,-0.36361987974155424,-0.060202492269547575
24290,leyte,2018-11-02,-0.3696897972079012,-0.08313366336284463
24291,leyte,2018-11-03,-0.3666548384747277,0.19503057903058685
24292,leyte,2018-11-04,-0.3575499622752073,0.04374940773157895
24293,leyte,2018-11-05,-0.3727247559410746,-1.0174489227579668
24294,leyte,2018-11-06,-0.3484450860756869,-0.6468436931444121
24295,leyte,2018-11-07,-0.3393402098761665,-0.787307000337052
24296,leyte,2018-11-08,-0.29381582887856444,-1.772548116012058
24297,leyte,2018-11-09,-0.3757597146742481,-1.4133195013416566
24298,leyte,2018-11-10,-0.3970044258064624,0.6025291430523944
24299,leyte,2018-11-11,-0.3757597146742481,-1.8940006992664473
24300,leyte,2018-11-12,-0.3484450860756869,-1.9161817169530941
24301,leyte,2018-11-13,-0.38182963214059507,-0.19463600896439923
24302,leyte,2018-11-14,-0.3848645908737685,-1.263725714875131
24303,leyte,2018-11-15,-0.3454101273425134,0.3439365792501123
24304,leyte,2018-11-16,-0.3696897972079012,0.2826966575543164
24305,leyte,2018-11-17,-0.37879467340742157,-0.7465749579339854
24306,leyte,2018-11-18,-0.3484450860756869,-0.8696092598196622
24307,leyte,2018-11-19,-0.28471095267904406,-2.039804862284378
24308,leyte,2018-11-20,-0.22401177801557465,-1.9192235838148684
24309,leyte,2018-11-21,-0.33630525114299303,-0.4325605717407723
24310,leyte,2018-11-22,-0.387899549606942,-1.0905809674806457
24311,leyte,2018-11-23,-0.3484450860756869,-1.3578219131669438
24312,leyte,2018-11-24,-0.30899062254443177,-0.3725101601495389
24313,leyte,2018-11-25,-0.36058492100838074,-0.3569519861050534
24314,leyte,2018-11-26,-0.3696897972079012,0.9935310860248706
24315,leyte,2018-11-27,-0.387899549606942,-1.354701844877357
24316,leyte,2018-11-28,-0.3696897972079012,0.5722129577273388
24317,leyte,2018-11-29,-0.36361987974155424,0.06083167750542913
